0,9089
2,10625
7,7681
8,10369
9,5633
14,7681
15,9473
19,5121
26,9985
29,5249
32,4481
33,11009
40,1665
41,641
42,9473
43,4481
48,8193
51,2561
52,7041
56,8321
57,8193
63,11265
64,8193
67,4609
70,6785
75,8065
77,4353
92,4993
110,5121
111,5249
114,769
123,4993
128,5121
129,8961
130,385
134,8449
136,9345
137,5889
139,4609
141,5121
149,7041
150,5761
152,2049
157,5633
159,5249
161,6913
162,5121
163,5505
166,1153
170,9473
182,769
187,1281
189,7425
190,5121
194,5121
196,5761
198,385
202,8065
203,7809
205,769
207,4609
210,5121
215,769
219,7681
220,5761
223,5761
224,5121
260,4481
261,5249
264,5633
