Type 4 ID,Type 4 Filename,Record ID,Model ID,Type,RefA,Aux
0x06a8bccb,735596.4.bin,0xbf8fdbaa,0x462fb076,0x00380300,0x739fd0e4,0x50179ad0
0x06a8bccb,735596.4.bin,0xbf8fdbaa,0xb240fbbb,0x00000000,0xbfc84f31,0x00000000
0x06a8bccb,735596.4.bin,0xc1a135cd,0x5f1bab0e,0x00000000,0xc1a135cd,0x492381a8
0x06a8bccb,735596.4.bin,0xc1daa320,0x806c1f68,0x0a3b2c00,0xc1daa320,0x00000000
0x06a8bccb,735596.4.bin,0xc8827230,0x8d1ca536,0x0a3b1800,0xc8827230,0x9b248f90
0x06a8bccb,735596.4.bin,0xcca3bbcb,0xf75df0ee,0x0a484d00,0xbfc1cce6,0x00000000
0x06a8bccb,735596.4.bin,0xd5c3b623,0x933523be,0x00000000,0xd5c3b623,0x850d0918
0x06a8bccb,735596.4.bin,0xdaf809c4,0x4616635f,0x0a45c000,0x459866d7,0x00000000
0x06a8bccb,735596.4.bin,0xdf06ef4c,0xd7aee14d,0x00380100,0xdf06ef4c,0xc196cbeb
0x06a8bccb,735596.4.bin,0xe08f352c,0xef10fad4,0x00380100,0x0a79cbb2,0x00000000
0x06a8bccb,735596.4.bin,0xe08f352c,0xfa13829d,0x00000000,0x80a9eb10,0xec2ba83b
0x06a8bccb,735596.4.bin,0xe51264e1,0xecb84d74,0x0a45c000,0x551603dc,0x00000000
0x06a8bccb,735596.4.bin,0xe5667bf5,0x8a9394bf,0x0a3b2b00,0xe5667bf5,0x00000000
0x06a8bccb,735596.4.bin,0xe999b707,0x26677aa8,0x00380100,0x8851f2cd,0x305f500e
0x06a8bccb,735596.4.bin,0xe999b707,0xef10fad4,0x00000000,0xd468fb0a,0x00000000
0x06a8bccb,735596.4.bin,0xea00e970,0x6af0feed,0x0a3b2800,0xea00e970,0x7cc8d44b
0x06a8bccb,735596.4.bin,0xeb932047,0x14c611ec,0x0a3b2900,0xeb932047,0x02fe3b4a
0x06a8bccb,735596.4.bin,0xefd744c7,0xe7d209a8,0x0a40e000,0xafe8a95a,0x00000000
0x06a8bccb,735596.4.bin,0xf49272e5,0x0e2af299,0x00000000,0xf49272e5,0x1812d83f
0x06a8bccb,735596.4.bin,0xf9fc9947,0xc2a364f7,0x00000000,0xe0a48f51,0x00000000
0x06a8bccb,735596.4.bin,0xfbeb6e78,0x7f0661b2,0x00000000,0xfbeb6e78,0x693e4b14
0x06a8bccb,735596.4.bin,0xfda2fc8f,0x630f9c99,0x00000000,0xfda2fc8f,0x7537b63f
0x07608e5a,737804.4.bin,0x02064d22,0x9ccb3932,0x00380100,0x02064d22,0x8af31394
0x07608e5a,737804.4.bin,0x0608c07b,0x2f8fdaaa,0x00000000,0x0608c07b,0x39b7f00c
0x07608e5a,737804.4.bin,0x0766109b,0x84385ae4,0x00380100,0x73f4a8e1,0x00000000
0x07608e5a,737804.4.bin,0x0c4e052d,0x2e6112bf,0x0a1d9500,0x0c4e052d,0x00000000
0x07608e5a,737804.4.bin,0x0d77b36f,0xb1229935,0x08034900,0x0d77b36f,0xa71ab393
0x07608e5a,737804.4.bin,0x11985e02,0x6b078f15,0x00380100,0xa774bf57,0x00000000
0x07608e5a,737804.4.bin,0x127bfc43,0xfb177833,0x00000000,0x127bfc43,0xed2f5295
0x07608e5a,737804.4.bin,0x14a10735,0x40d2dedc,0x00000000,0x14a10735,0x56eaf47a
0x07608e5a,737804.4.bin,0x171f5f58,0x3b90013e,0x00380100,0xd58bb63d,0x00000000
0x07608e5a,737804.4.bin,0x1858a37e,0x8ef48cbd,0x00380100,0x1858a37e,0x98cca61b
0x07608e5a,737804.4.bin,0x1ac9bbb1,0x3d367676,0x00000000,0x1ac9bbb1,0x2b0e5cd0
0x07608e5a,737804.4.bin,0x1d489ffa,0x96eb9269,0x00380100,0xa45d2f4d,0x00000000
0x07608e5a,737804.4.bin,0x22555bf7,0x8419282e,0x00380100,0xb0ec1c9c,0x00000000
0x07608e5a,737804.4.bin,0x28498919,0x37a0fef1,0x00000000,0x28498919,0x2198d457
0x07608e5a,737804.4.bin,0x2c148393,0x00000000,0x00000000,0x2c148393,0x00000000
0x07608e5a,737804.4.bin,0x2de15520,0xa4b24fb8,0x00380100,0x2de15520,0xb28a651e
0x07608e5a,737804.4.bin,0x3132c410,0xc7d1066a,0x00380100,0x3132c410,0xd1e92ccc
0x07608e5a,737804.4.bin,0x31f7564c,0x24a29756,0x00380100,0x31f7564c,0x329abdf0
0x07608e5a,737804.4.bin,0x33e0f91b,0xf94118fe,0x01b2fb00,0x33e0f91b,0xef793258
0x07608e5a,737804.4.bin,0x36940b07,0x24d8c2fa,0x00000000,0x36940b07,0x00000000
0x07608e5a,737804.4.bin,0x37141b4d,0x1fbe267f,0x071f3f00,0x37141b4d,0x09860cd9
0x07608e5a,737804.4.bin,0x38dabdf5,0xb6729caa,0x00380100,0x38dabdf5,0xa04ab60c
0x07608e5a,737804.4.bin,0x397bb1f1,0x60ec6ddd,0x0a2f1b00,0x397bb1f1,0x00000000
0x07608e5a,737804.4.bin,0x3ac68288,0x4249a10e,0x00380100,0x3ac68288,0x54718ba8
0x07608e5a,737804.4.bin,0x3b94f202,0xc1067c46,0x01b2bc00,0x3b94f202,0x00000000
0x07608e5a,737804.4.bin,0x3f6525dd,0xcd4901fd,0x00380100,0x3f6525dd,0xdb712b5b
0x07608e5a,737804.4.bin,0x4d1ab8ac,0x8d1a6822,0x00000000,0x4d1ab8ac,0x9b224284
0x07608e5a,737804.4.bin,0x4d960098,0x2e15e413,0x00380100,0xa3a4321a,0x00000000
0x07608e5a,737804.4.bin,0x553afca1,0x8d5e865d,0x0a2f1e00,0x553afca1,0x9b66acfb
0x07608e5a,737804.4.bin,0x572ad17b,0x2f096eca,0x00000000,0x572ad17b,0x00000000
0x07608e5a,737804.4.bin,0x581ab137,0x8c91e142,0x00ff7a00,0x581ab137,0x00000000
0x07608e5a,737804.4.bin,0x5a438ff8,0x6e9e9471,0x00380100,0x5a438ff8,0x78a6bed7
0x07608e5a,737804.4.bin,0x5a97743a,0x98622745,0x00d0bd00,0x52f33648,0x00000000
0x07608e5a,737804.4.bin,0x5e91b6be,0xd08e3934,0x00000000,0x5e91b6be,0xc6b61392
0x07608e5a,737804.4.bin,0x645d1a16,0xa13d6122,0x00000000,0x645d1a16,0xb7054b84
0x07608e5a,737804.4.bin,0x652c3db4,0xbf502945,0x00000000,0xdeeca4c1,0xa96803e3
0x07608e5a,737804.4.bin,0x6643a56f,0xc73fabcc,0x00000000,0x6643a56f,0xd107816a
0x07608e5a,737804.4.bin,0x693ec7bc,0xa753670b,0x09509700,0x693ec7bc,0xb16b4dad
0x07608e5a,737804.4.bin,0x6c1c6c71,0x7863d66f,0x094f8500,0xf57bbe8e,0x00000000
0x07608e5a,737804.4.bin,0x6ee326ec,0x7dbea1da,0x00380100,0x6ee326ec,0x6b868b7c
0x07608e5a,737804.4.bin,0x72017dae,0x6ec7a7f2,0x00380100,0x5986ee1e,0x00000000
0x07608e5a,737804.4.bin,0x72f831f4,0x62be501f,0x0951b900,0x1228f75f,0x00000000
0x07608e5a,737804.4.bin,0x79902933,0x50a635b7,0x076bb900,0x79902933,0x469e1f11
0x07608e5a,737804.4.bin,0x79c7023c,0xde430c88,0x00000000,0x79c7023c,0xc87b262e
0x07608e5a,737804.4.bin,0x805f7715,0x32b64004,0x00000000,0x805f7715,0x00000000
0x07608e5a,737804.4.bin,0x81aa07b7,0xc33d2df8,0x00380100,0xc92a40bb,0x00000000
0x07608e5a,737804.4.bin,0x83aa4eb0,0x66dbfc08,0x00380100,0x15c918a4,0x00000000
0x07608e5a,737804.4.bin,0x83b88a25,0xd6e2d156,0x00380100,0xc6386e7c,0x00000000
